id,Latitude,Longitude,Temperature,Salinity,Pressure,Time,argo_id,Cycle
396,41.446,164.368,5.973,33.758,270.0,,1,4.0
397,41.446,164.368,5.873,33.771,279.8,,1,4.0
398,41.446,164.368,5.725,33.778,289.8,,1,4.0
399,41.446,164.368,5.76,33.802,300.0,,1,4.0
400,41.446,164.368,5.496,33.8,310.5,,1,4.0
401,41.446,164.368,5.615,33.843,319.9,,1,4.0
402,41.446,164.368,5.366,33.836,329.5,,1,4.0
403,41.446,164.368,5.358,33.854,339.4,,1,4.0
404,41.446,164.368,5.234,33.858,349.3,,1,4.0
405,41.446,164.368,5.171,33.866,359.3,,1,4.0
406,41.446,164.368,4.988,33.856,369.4,,1,4.0
407,41.446,164.368,4.81,33.852,379.5,,1,4.0
408,41.446,164.368,4.68,33.858,389.7,,1,4.0
409,41.446,164.368,4.676,33.875,399.8,,1,4.0
410,41.446,164.368,4.788,33.909,410.0,,1,4.0
411,41.446,164.368,4.582,33.898,420.3,,1,4.0
412,41.446,164.368,4.651,33.928,430.7,,1,4.0
413,41.446,164.368,4.579,33.932,440.7,,1,4.0
414,41.446,164.368,4.477,33.94,450.9,,1,4.0
415,41.446,164.368,4.511,33.96,460.0,,1,4.0
416,41.446,164.368,4.423,33.969,470.5,,1,4.0
417,41.446,164.368,4.49,33.993,480.1,,1,4.0
418,41.446,164.368,4.343,33.992,489.9,,1,4.0
419,41.446,164.368,4.296,33.999,500.0,,1,4.0
420,41.446,164.368,4.453,34.06,519.9,,1,4.0
421,41.446,164.368,4.299,34.062,539.5,,1,4.0
422,41.446,164.368,4.319,34.091,559.7,,1,4.0
423,41.446,164.368,4.261,34.105,578.8,,1,4.0
424,41.446,164.368,4.223,34.133,599.7,,1,4.0
425,41.446,164.368,4.072,34.134,618.9,,1,4.0
426,41.446,164.368,4.06,34.163,639.8,,1,4.0
427,41.446,164.368,4.004,34.181,660.9,,1,4.0
428,41.446,164.368,3.94,34.198,680.4,,1,4.0
429,41.446,164.368,3.863,34.21,700.3,,1,4.0
430,41.446,164.368,3.625,34.206,720.6,,1,4.0
431,41.446,164.368,3.567,34.22,740.6,,1,4.0
432,41.446,164.368,3.511,34.229,759.8,,1,4.0
433,41.446,164.368,3.47,34.244,780.4,,1,4.0
434,41.446,164.368,3.422,34.256,800.4,,1,4.0
435,41.446,164.368,3.38,34.271,820.0,,1,4.0
436,41.446,164.368,3.331,34.282,840.8,,1,4.0
437,41.446,164.368,3.292,34.294,860.7,,1,4.0
438,41.446,164.368,3.262,34.307,880.8,,1,4.0
439,41.446,164.368,3.239,34.318,900.7,,1,4.0
440,41.446,164.368,3.222,34.323,920.0,,1,4.0
441,41.446,164.368,3.196,34.335,940.7,,1,4.0
442,41.446,164.368,3.153,34.343,960.2,,1,4.0
443,41.446,164.368,3.099,34.348,979.8,,1,4.0
444,41.446,164.368,3.084,34.363,1000.0,,1,4.0
445,41.446,164.368,3.011,34.376,1050.5,,1,4.0
446,41.446,164.368,2.923,34.395,1100.6,,1,4.0
447,41.446,164.368,2.824,34.409,1150.2,,1,4.0
448,41.446,164.368,2.744,34.427,1200.6,,1,4.0
449,41.446,164.368,2.653,34.443,1250.2,,1,4.0
